Date,Adj Close,Close,High,Low,Open,Volume,Percentage_change
2000-01-03 00:00:00+00:00,1455.219971,1455.219971,1478,1438.359985,1469.25,931800000,
2000-01-04 00:00:00+00:00,1399.420044,1399.420044,1455.219971,1397.430054,1455.219971,1009000000,-0.038344668
2000-01-05 00:00:00+00:00,1402.109985,1402.109985,1413.27002,1377.680054,1399.420044,1085500000,0.001922183
2000-01-06 00:00:00+00:00,1403.449951,1403.449951,1411.900024,1392.099976,1402.109985,1092300000,0.000955678
2000-01-07 00:00:00+00:00,1441.469971,1441.469971,1441.469971,1400.72998,1403.449951,1225200000,0.027090399
2000-01-10 00:00:00+00:00,1457.599976,1457.599976,1464.359985,1441.469971,1441.469971,1064800000,0.011189969
2000-01-11 00:00:00+00:00,1438.560059,1438.560059,1458.660034,1434.420044,1457.599976,1014000000,-0.013062512
2000-01-12 00:00:00+00:00,1432.25,1432.25,1442.599976,1427.079956,1438.560059,974600000,-0.004386371
2000-01-13 00:00:00+00:00,1449.680054,1449.680054,1454.199951,1432.25,1432.25,1030400000,0.012169701
2000-01-14 00:00:00+00:00,1465.150024,1465.150024,1473,1449.680054,1449.680054,1085900000,0.0106713
2000-01-18 00:00:00+00:00,1455.140015,1455.140015,1465.150024,1451.300049,1465.150024,1056700000,-0.006832072
2000-01-19 00:00:00+00:00,1455.900024,1455.900024,1461.390015,1448.680054,1455.140015,1087800000,0.000522293
2000-01-20 00:00:00+00:00,1445.569946,1445.569946,1465.709961,1438.540039,1455.900024,1100700000,-0.007095321
2000-01-21 00:00:00+00:00,1441.359985,1441.359985,1453.180054,1439.599976,1445.569946,1209800000,-0.002912319
2000-01-24 00:00:00+00:00,1401.530029,1401.530029,1454.089966,1395.420044,1441.359985,1115800000,-0.027633594
2000-01-25 00:00:00+00:00,1410.030029,1410.030029,1414.26001,1388.48999,1401.530029,1073700000,0.0060648
2000-01-26 00:00:00+00:00,1404.089966,1404.089966,1412.72998,1400.160034,1410.030029,1117300000,-0.004212721
2000-01-27 00:00:00+00:00,1398.560059,1398.560059,1418.859985,1370.98999,1404.089966,1129500000,-0.003938428
2000-01-28 00:00:00+00:00,1360.160034,1360.160034,1398.560059,1356.199951,1398.560059,1095800000,-0.027456829
2000-01-31 00:00:00+00:00,1394.459961,1394.459961,1394.47998,1350.140015,1360.160034,993800000,0.025217567
2000-02-01 00:00:00+00:00,1409.280029,1409.280029,1412.48999,1384.790039,1394.459961,981000000,0.010627819
2000-02-02 00:00:00+00:00,1409.119995,1409.119995,1420.609985,1403.48999,1409.280029,1038600000,-0.000113557
2000-02-03 00:00:00+00:00,1424.969971,1424.969971,1425.780029,1398.52002,1409.119995,1146500000,0.011248138
2000-02-04 00:00:00+00:00,1424.369995,1424.369995,1435.910034,1420.630005,1424.969971,1045100000,-0.000421044
2000-02-07 00:00:00+00:00,1424.23999,1424.23999,1427.150024,1413.329956,1424.369995,918100000,-9.13E-05
2000-02-08 00:00:00+00:00,1441.719971,1441.719971,1441.829956,1424.23999,1424.23999,1047700000,0.012273199
2000-02-09 00:00:00+00:00,1411.709961,1411.709961,1444.550049,1411.650024,1441.719971,1050500000,-0.020815422
2000-02-10 00:00:00+00:00,1416.829956,1416.829956,1422.099976,1406.430054,1411.699951,1058800000,0.003626804
2000-02-11 00:00:00+00:00,1387.119995,1387.119995,1416.829956,1378.890015,1416.829956,1025700000,-0.02096932
2000-02-14 00:00:00+00:00,1389.939941,1389.939941,1394.930054,1380.530029,1387.119995,927300000,0.002032951
2000-02-15 00:00:00+00:00,1402.050049,1402.050049,1407.719971,1376.25,1389.939941,1092100000,0.008712684
2000-02-16 00:00:00+00:00,1387.670044,1387.670044,1404.550049,1385.579956,1402.050049,1018800000,-0.010256413
2000-02-17 00:00:00+00:00,1388.26001,1388.26001,1399.880005,1380.069946,1387.670044,1034800000,0.000425148
2000-02-18 00:00:00+00:00,1346.089966,1346.089966,1388.589966,1345.319946,1388.26001,1042300000,-0.030376186
2000-02-22 00:00:00+00:00,1352.170044,1352.170044,1358.109985,1331.880005,1346.089966,980000000,0.004516844
2000-02-23 00:00:00+00:00,1360.689941,1360.689941,1370.109985,1342.439941,1352.170044,993700000,0.006300907
