date,change
2000-06-22 00:00:00+00:00,-0.018220137
2000-06-23 00:00:00+00:00,-0.007368283
2000-06-26 00:00:00+00:00,0.00959436
2000-06-27 00:00:00+00:00,-0.003270787
2000-06-28 00:00:00+00:00,0.00294364
2000-06-29 00:00:00+00:00,-0.008543966
2000-06-30 00:00:00+00:00,0.00846509
2000-07-03 00:00:00+00:00,0.010270909
2000-07-05 00:00:00+00:00,-0.015862146
2000-07-06 00:00:00+00:00,0.007218813
2000-07-07 00:00:00+00:00,0.015260821
2000-07-10 00:00:00+00:00,-0.002217884
2000-07-11 00:00:00+00:00,0.00356461
2000-07-12 00:00:00+00:00,0.008130327
2000-07-13 00:00:00+00:00,0.001955846
2000-07-14 00:00:00+00:00,0.009452893
2000-07-17 00:00:00+00:00,0.000337759
2000-07-18 00:00:00+00:00,-0.011089117
2000-07-19 00:00:00+00:00,-0.007886265
2000-07-20 00:00:00+00:00,0.009183774
2000-07-21 00:00:00+00:00,-0.010283708
2000-07-24 00:00:00+00:00,-0.010741799
2000-07-25 00:00:00+00:00,0.006952128
2000-07-26 00:00:00+00:00,-0.014954477
2000-07-27 00:00:00+00:00,-0.001927851
2000-07-28 00:00:00+00:00,-0.02050881
2000-07-31 00:00:00+00:00,0.007704781
2000-08-01 00:00:00+00:00,0.005080981
2000-08-02 00:00:00+00:00,0.0004172
2000-08-03 00:00:00+00:00,0.009633772
2000-08-04 00:00:00+00:00,0.007139116
2000-08-07 00:00:00+00:00,0.01120347
2000-08-08 00:00:00+00:00,0.002352502
2000-08-09 00:00:00+00:00,-0.006696826
2000-08-10 00:00:00+00:00,-0.008568302
2000-08-11 00:00:00+00:00,0.007936974
2000-08-14 00:00:00+00:00,0.013398259
2000-08-15 00:00:00+00:00,-0.004780233
2000-08-16 00:00:00+00:00,-0.003085412
2000-08-17 00:00:00+00:00,0.010960551
2000-08-18 00:00:00+00:00,-0.002907602
2000-08-21 00:00:00+00:00,0.005202055
2000-08-22 00:00:00+00:00,-0.000900296
2000-08-23 00:00:00+00:00,0.005233168
2000-08-24 00:00:00+00:00,0.001553874
2000-08-25 00:00:00+00:00,-0.001233239
2000-08-28 00:00:00+00:00,0.005071536
2000-08-29 00:00:00+00:00,-0.002806967
2000-08-30 00:00:00+00:00,-0.004801833
2000-08-31 00:00:00+00:00,0.010042718
2000-09-01 00:00:00+00:00,0.00203598
2000-09-05 00:00:00+00:00,-0.00900206
2000-09-06 00:00:00+00:00,-0.009840192
2000-09-07 00:00:00+00:00,0.00687553
2000-09-08 00:00:00+00:00,-0.005331086
2000-09-11 00:00:00+00:00,-0.003506183
2000-09-12 00:00:00+00:00,-0.004881632
2000-09-13 00:00:00+00:00,0.001970353
2000-09-14 00:00:00+00:00,-0.00272073
2000-09-15 00:00:00+00:00,-0.010169655
2000-09-18 00:00:00+00:00,-0.014531248
2000-09-19 00:00:00+00:00,0.010654142
2000-09-20 00:00:00+00:00,-0.005863455
2000-09-21 00:00:00+00:00,-0.001577795
2000-09-22 00:00:00+00:00,-0.000227789
2000-09-25 00:00:00+00:00,-0.006688623
2000-09-26 00:00:00+00:00,-0.008213914
2000-09-27 00:00:00+00:00,-0.000448438
2000-09-28 00:00:00+00:00,0.022235217
2000-09-29 00:00:00+00:00,-0.014935321
2000-10-02 00:00:00+00:00,-0.000194937
2000-10-03 00:00:00+00:00,-0.006802545
2000-10-04 00:00:00+00:00,0.005510134
2000-10-05 00:00:00+00:00,0.001366559
2000-10-06 00:00:00+00:00,-0.0190005
2000-10-09 00:00:00+00:00,-0.004939681
2000-10-10 00:00:00+00:00,-0.010705912
2000-10-11 00:00:00+00:00,-0.016171399
2000-10-12 00:00:00+00:00,-0.025509448
2000-10-13 00:00:00+00:00,0.033381472
2000-10-16 00:00:00+00:00,0.000327435
2000-10-17 00:00:00+00:00,-0.017932246
2000-10-18 00:00:00+00:00,-0.005807511
2000-10-19 00:00:00+00:00,0.034743285
2000-10-20 00:00:00+00:00,0.005882978
2000-10-23 00:00:00+00:00,-0.000823251
2000-10-24 00:00:00+00:00,0.001683629
2000-10-25 00:00:00+00:00,-0.023767447
2000-10-26 00:00:00+00:00,-0.000337082
2000-10-27 00:00:00+00:00,0.011096139
2000-10-30 00:00:00+00:00,0.013830353
2000-10-31 00:00:00+00:00,0.021978172
2000-11-01 00:00:00+00:00,-0.005722718
2000-11-02 00:00:00+00:00,0.004995691
2000-11-03 00:00:00+00:00,-0.001141204
2000-11-06 00:00:00+00:00,0.003855077
2000-11-07 00:00:00+00:00,-0.000223397
2000-11-08 00:00:00+00:00,-0.015776548
2000-11-09 00:00:00+00:00,-0.006485592
2000-11-10 00:00:00+00:00,-0.024397584
2000-11-13 00:00:00+00:00,-0.010776125
2000-11-14 00:00:00+00:00,0.023452142
2000-11-15 00:00:00+00:00,0.004960489
2000-11-16 00:00:00+00:00,-0.012584534
2000-11-17 00:00:00+00:00,-0.00335197
2000-11-20 00:00:00+00:00,-0.018351692
2000-11-21 00:00:00+00:00,0.003522948
2000-11-22 00:00:00+00:00,-0.018547512
2000-11-24 00:00:00+00:00,0.014678328
2000-11-27 00:00:00+00:00,0.00536601
2000-11-28 00:00:00+00:00,-0.009548029
2000-11-29 00:00:00+00:00,0.004371029
2000-11-30 00:00:00+00:00,-0.020105446
2000-12-01 00:00:00+00:00,0.000212958
2000-12-04 00:00:00+00:00,0.007405542
2000-12-05 00:00:00+00:00,0.038921688
2000-12-06 00:00:00+00:00,-0.01821965
2000-12-07 00:00:00+00:00,-0.005852865
2000-12-08 00:00:00+00:00,0.019604752
2000-12-11 00:00:00+00:00,0.007526105
2000-12-12 00:00:00+00:00,-0.006535211
2000-12-13 00:00:00+00:00,-0.0081609
2000-12-14 00:00:00+00:00,-0.014014762
2000-12-15 00:00:00+00:00,-0.021462737
2000-12-18 00:00:00+00:00,0.008070697
2000-12-19 00:00:00+00:00,-0.012957962
2000-12-20 00:00:00+00:00,-0.031295945
2000-12-21 00:00:00+00:00,0.008001641
2000-12-22 00:00:00+00:00,0.024386965
2000-12-26 00:00:00+00:00,0.007075302
2000-12-27 00:00:00+00:00,0.010439635
2000-12-28 00:00:00+00:00,0.003988146
2000-12-29 00:00:00+00:00,-0.010448008
2001-01-02 00:00:00+00:00,-0.028031939
2001-01-03 00:00:00+00:00,0.050098606
2001-01-04 00:00:00+00:00,-0.010552474
2001-01-05 00:00:00+00:00,-0.026242362
2001-01-08 00:00:00+00:00,-0.001917811
2001-01-09 00:00:00+00:00,0.003812189
2001-01-10 00:00:00+00:00,0.009586385
2001-01-11 00:00:00+00:00,0.010317701
2001-01-12 00:00:00+00:00,-0.006232871
2001-01-16 00:00:00+00:00,0.006143093
2001-01-17 00:00:00+00:00,0.002125614
2001-01-18 00:00:00+00:00,0.01391532
2001-01-19 00:00:00+00:00,-0.004028229
2001-01-22 00:00:00+00:00,0.000268138
